,Actual,402,403,404,405
1,0.058067016,0.075038787,0.036308079,0.035836682,0.045840944
1,0.058067016,0.081098357,0.056956963,0.017398052,0.04949601
1,0.058067016,0.081098357,0.056956963,0.025970427,0.059100091
1,0.058067016,0.100299986,0.032322491,0.049248732,0.059100091
1,0.058067016,0.083342308,0.018066442,0.0545478,0.045524876
1,0.058067016,0.08455337,0.003770466,0.046641328,0.070701116
1,0.058067016,0.062103134,0.023445727,0.085291431,0.078300273
1,0.058067016,0.041859483,0.041563247,0.074727584,0.061390127
1,0.058067016,0.064676217,0.020165241,0.020244208,0.045932907
1,0.058067016,0.04579653,0.057227074,0.018487066,0.031922537
2,-0.018837281,-0.017184716,0.068951853,0.018487066,0.005007527
2,-0.018837281,-0.023777711,0.064016266,0.019032746,-0.014331255
2,-0.018837281,0.015609512,0.052134732,0.000387599,-0.005914906
2,-0.018837281,-0.00102514,0.032376308,-0.029624137,-0.001000746
2,-0.018837281,-0.047501562,-0.009579552,-0.054007231,-0.020584763
2,-0.018837281,-0.093054235,0.057312308,-0.043847699,-0.053428177
2,-0.018837281,-0.096272609,0.035398469,-0.070442694,-0.076632896
2,-0.018837281,0.040931313,0.019683845,-0.035276833,-0.043753414
2,-0.018837281,-0.015178123,0.037975293,-0.061975024,-0.036942612
2,-0.018837281,-0.07412319,0.013370559,-0.015104869,-0.044849434
2,-0.018837281,-0.073924226,-0.009363628,0.048913456,-0.050159962
2,-0.018837281,-0.077061865,0.005081172,-0.007820306,-0.050159962
2,-0.018837281,-0.04430205,-0.041386387,-0.01371058,-0.068977765
2,-0.018837281,-0.050658508,-0.043942561,-0.041680097,-0.068977765
2,-0.018837281,-0.061321735,-0.048879673,-0.051015192,-0.087015083
2,-0.018837281,-0.09059074,-0.073544736,-0.07077687,-0.093022576
2,-0.018837281,-0.104894597,-0.131188678,-0.059645958,-0.080757792
2,-0.018837281,-0.104894597,-0.077398147,-0.061096171,-0.080757792
2,-0.018837281,-0.131652875,-0.077398147,-0.074685035,-0.080757792
2,-0.018837281,-0.131652875,-0.063949046,-0.055993704,-0.074113516
2,-0.018837281,-0.09297021,-0.063949046,-0.077088407,-0.060703918
2,-0.018837281,-0.112077444,-0.083546466,-0.07044335,-0.056477021
2,-0.018837281,-0.095321162,-0.104559122,-0.07044335,-0.044118602
2,-0.018837281,-0.108138226,-0.083808437,-0.07044335,-0.044118602
2,-0.018837281,-0.120115461,-0.101119594,-0.101148881,-0.043698945
2,-0.018837281,-0.14053156,-0.101119594,-0.073758381,-0.031118529
3,-0.080680847,-0.12092338,-0.121612477,-0.103914919,-0.062481223
3,-0.080680847,-0.158876612,-0.121612477,-0.099274868,-0.062481223
3,-0.080680847,-0.142673654,-0.061871845,-0.085551083,-0.022153215
3,-0.080680847,-0.143175768,-0.116743517,-0.063720979,-0.0062664
3,-0.080680847,-0.158680337,-0.079900239,-0.064890409,-0.050864261
3,-0.080680847,-0.150045222,-0.063720026,-0.079486958,-0.120213746
3,-0.080680847,-0.150045222,-0.098348356,-0.082444416,-0.108665948
3,-0.080680847,-0.141802881,-0.096642027,-0.082444416,-0.079582584
3,-0.080680847,-0.15046437,-0.06740795,-0.059142722,-0.100814802
3,-0.080680847,-0.124365507,-0.150387925,-0.065048401,-0.123597111
3,-0.080680847,-0.107817005,-0.089982563,-0.087206771,-0.123597111
3,-0.080680847,-0.08026924,-0.08933911,-0.1138063,-0.119099576
3,-0.080680847,-0.077626965,-0.094134331,-0.119328034,-0.09590041
3,-0.080680847,-0.102630286,-0.090483982,-0.105177646,-0.041438925
3,-0.080680847,-0.108097366,-0.085520926,-0.105177646,-0.045615489
3,-0.080680847,-0.087052989,-0.103585357,-0.117912863,-0.072602163
3,-0.080680847,-0.080954839,-0.113089868,-0.088183429,-0.040256224
3,-0.080680847,-0.061610482,-0.090213113,-0.074638625,-0.066607578
3,-0.080680847,-0.044453806,-0.093376418,-0.06784628,-0.061019474
3,-0.080680847,-0.058891071,-0.117874432,-0.088943834,-0.076440269
3,-0.080680847,-0.077523248,-0.107762283,-0.09826106,-0.076440269
3,-0.080680847,-0.077523248,-0.133342795,-0.080355522,-0.076440269
3,-0.080680847,-0.089752267,-0.133342795,-0.102992689,-0.076440269
4,-0.095787048,-0.104548842,-0.154020403,-0.115833149,-0.076440269
4,-0.095787048,-0.088646835,-0.154020403,-0.129602817,-0.096256829
4,-0.095787048,-0.069991618,-0.156264554,-0.129602817,-0.117589125
4,-0.095787048,-0.09452756,-0.12320686,-0.129602817,-0.117589125
4,-0.095787048,-0.072277359,-0.097624093,-0.129602817,-0.133630697
4,-0.095787048,-0.072277359,-0.113012527,-0.147816644,-0.133630697
4,-0.095787048,-0.086149817,-0.104631095,-0.112362091,-0.116389713
4,-0.095787048,-0.072463855,-0.09385702,-0.112362091,-0.096141456
4,-0.095787048,-0.082500215,-0.11275507,-0.112362091,-0.078670283
4,-0.095787048,-0.089778182,-0.111496249,-0.112362091,-0.083143621
4,-0.095787048,-0.089778182,-0.111496249,-0.113151396,-0.102119764
4,-0.095787048,-0.117576267,-0.13400153,-0.138385912,-0.09238997
4,-0.095787048,-0.131671406,-0.056506936,-0.147538573,-0.106707902
4,-0.095787048,-0.131671406,-0.096742957,-0.147538573,-0.125103505
4,-0.095787048,-0.131671406,-0.147873802,-0.148925945,-0.11523609
4,-0.095787048,-0.119216697,-0.099315238,-0.148925945,-0.133321601
4,-0.095787048,-0.119216697,-0.11166449,-0.148925945,-0.124426933
5,-0.193977356,-0.096093611,-0.08544815,-0.124624768,-0.128104011
5,-0.193977356,-0.076515527,-0.111697532,-0.102799278,-0.110054027
5,-0.193977356,-0.076515527,-0.113074079,-0.104955065,-0.051811643
5,-0.193977356,-0.045396452,-0.150484743,-0.125333445,-0.045160158
5,-0.193977356,-0.064083638,-0.167087631,-0.102873713,-0.058871454
5,-0.193977356,-0.096802434,-0.177632977,-0.125131348,-0.051077584
5,-0.193977356,-0.124877917,-0.138899311,-0.11568602,-0.051077584
5,-0.193977356,-0.146986331,-0.138899311,-0.137063274,-0.052381412
5,-0.193977356,-0.11311116,-0.122752571,-0.140511205,-0.068444266
5,-0.193977356,-0.163480045,-0.109069976,-0.157036687,-0.110326647
5,-0.193977356,-0.163480045,-0.135060388,-0.147796367,-0.110326647
5,-0.193977356,-0.184863147,-0.113000676,-0.171948436,-0.134845442
5,-0.193977356,-0.176943483,-0.113063746,-0.136762884,-0.157449924
5,-0.193977356,-0.121225563,-0.134979654,-0.140414472,-0.147256001
5,-0.193977356,-0.127156227,-0.156022023,-0.140414472,-0.147256001
5,-0.193977356,-0.126594635,-0.160728298,-0.160083659,-0.134809477
6,-0.196037292,-0.145447213,-0.175051838,-0.1388024,-0.134809477
6,-0.196037292,-0.145447213,-0.146129711,-0.1388024,-0.136146344
6,-0.196037292,-0.134748894,-0.107977563,-0.1388024,-0.136146344
6,-0.196037292,-0.08527252,-0.10696115,-0.1388024,-0.159969747
6,-0.196037292,-0.091876364,-0.074459441,-0.10026657,-0.152870426
6,-0.196037292,-0.105588058,-0.093140485,-0.118812224,-0.135928851
6,-0.196037292,-0.104945669,-0.117259102,-0.157689401,-0.135365557
6,-0.196037292,-0.099655031,-0.089992523,-0.139364153,-0.135365557
6,-0.196037292,-0.110077903,-0.102945843,-0.133589189,-0.135365557
6,-0.196037292,-0.098781874,-0.122371662,-0.133589189,-0.157203129
6,-0.196037292,-0.098781874,-0.087914457,-0.117818367,-0.137789717
6,-0.196037292,-0.102194744,-0.114343731,-0.134606772,-0.112081989
6,-0.196037292,-0.119217557,-0.125896691,-0.134606772,-0.119215248
6,-0.196037292,-0.113345879,-0.13028067,-0.172531926,-0.118015397
6,-0.196037292,-0.11785493,-0.125720045,-0.172531926,-0.14731733
6,-0.196037292,-0.11785493,-0.127152019,-0.143843158,-0.14731733
6,-0.196037292,-0.136815854,-0.133496908,-0.166248611,-0.165668232
6,-0.196037292,-0.096138394,-0.130846731,-0.166248611,-0.165668232
6,-0.196037292,-0.130052731,-0.126544903,-0.172792935,-0.185791921
6,-0.196037292,-0.122948849,-0.126544903,-0.172792935,-0.185791921
6,-0.196037292,-0.141006484,-0.155438215,-0.154204664,-0.155373996
6,-0.196037292,-0.161419368,-0.143448796,-0.122998993,-0.153091642
6,-0.196037292,-0.142611065,-0.143448796,-0.155617616,-0.140679431
6,-0.196037292,-0.167018764,-0.161543819,-0.15937117,-0.142202606
6,-0.196037292,-0.149286215,-0.171184637,-0.15937117,-0.160607227
6,-0.196037292,-0.172118577,-0.158328036,-0.128461159,-0.172616059
6,-0.196037292,-0.156357324,-0.1176125,-0.162742621,-0.147270812
7,-0.228996277,-0.151672888,-0.140070203,-0.135669455,-0.157225487
7,-0.228996277,-0.1430968,-0.10864038,-0.146005667,-0.122109186
7,-0.228996277,-0.145956312,-0.107088999,-0.146005667,-0.123309338
7,-0.228996277,-0.145956312,-0.11401264,-0.165232162,-0.124313959
7,-0.228996277,-0.143574857,-0.097946463,-0.165232162,-0.11982893
7,-0.228996277,-0.149809923,-0.097946463,-0.165232162,-0.158718989
7,-0.228996277,-0.149809923,-0.080891279,-0.145931862,-0.176358251
7,-0.228996277,-0.149809923,-0.080891279,-0.091119667,-0.172696846
7,-0.228996277,-0.14812098,-0.087888023,-0.100001552,-0.182296616
7,-0.228996277,-0.14795542,-0.116670243,-0.123639142,-0.159274566
7,-0.228996277,-0.14795542,-0.12442872,-0.123639142,-0.169872245
7,-0.228996277,-0.14795542,-0.145367321,-0.095478537,-0.199850852
7,-0.228996277,-0.14795542,-0.136209519,-0.102598714,-0.17841487
7,-0.228996277,-0.163104715,-0.149541484,-0.117884394,-0.146960896
7,-0.228996277,-0.181562096,-0.124354178,-0.132650646,-0.158216132
7,-0.228996277,-0.195148216,-0.124354178,-0.119320418,-0.158216132
7,-0.228996277,-0.175374401,-0.111974168,-0.111019229,-0.158216132
7,-0.228996277,-0.141660869,-0.081721396,-0.111019229,-0.15278903
7,-0.228996277,-0.058550759,-0.081721396,-0.112404363,-0.135958644
7,-0.228996277,-0.064557816,-0.087224853,-0.100864788,-0.135958644
7,-0.228996277,-0.076998481,-0.105069953,-0.100864788,-0.121763113
7,-0.228996277,-0.099337326,-0.127901123,-0.134881243,-0.135452401
7,-0.228996277,-0.125205618,-0.145842852,-0.125027718,-0.126594949
